symptomatic,cohort_period,symptom,n_1st_period,percentage_1st_period,n_2nd_period,percentage_2nd_period,pvalue,https://www.nature.com/articles/s41467-023-39193-y/tables/4
1,6 and 12 months,Problems hearing,761,5.88,867,6.7,0.001,
0,6 and 12 months,Problems hearing,373,3.38,433,3.93,0.013,
1,6 and 18 months,Problems hearing,244,5.82,303,7.22,0.002,
0,6 and 18 months,Problems hearing,57,3.33,75,4.38,0.082,
1,6 and 12 months,Breathlessness,2879,22.2,2830,21.9,0.309,
0,6 and 12 months,Breathlessness,863,7.83,1076,9.76,<0.001,
1,6 and 18 months,Breathlessness,1082,25.8,1058,25.2,0.431,
0,6 and 18 months,Breathlessness,172,10.1,188,11,0.277,
1,6 and 12 months,Dry cough,1559,12,1946,15,<0.001,
0,6 and 12 months,Dry cough,761,6.9,1127,10.2,<0.001,
1,6 and 18 months,Dry cough,484,11.5,713,17,<0.001,
0,6 and 18 months,Dry cough,119,6.95,187,10.9,<0.001,
1,6 and 12 months,Diarrhea,1092,8.43,1138,8.79,0.24,
0,6 and 12 months,Diarrhea,812,7.36,815,7.39,0.953,
1,6 and 18 months,Diarrhea,385,9.18,424,10.1,0.094,
0,6 and 18 months,Diarrhea,117,6.84,119,6.95,0.935,
1,6 and 12 months,Muscle aches/weakness,3387,26.2,3446,26.6,0.271,
0,6 and 12 months,Muscle aches/weakness,1723,15.6,1881,17.1,<0.001,
1,6 and 18 months,Muscle aches/weakness,1231,29.3,1269,30.2,0.236,
0,6 and 18 months,Muscle aches/weakness,299,17.5,307,17.9,0.702,
1,6 and 12 months,Headache,3250,25.1,3325,25.7,0.184,
0,6 and 12 months,Headache,2131,19.3,2423,22,<0.001,
1,6 and 18 months,Headache,1141,27.2,1145,27.3,0.927,
0,6 and 18 months,Headache,307,17.9,337,19.7,0.144,
1,6 and 12 months,Anxious/depressed,2588,20,2559,19.8,0.568,
0,6 and 12 months,Anxious/depressed,1460,13.2,1566,14.2,0.008,
1,6 and 18 months,Anxious/depressed,921,22,904,21.5,0.569,
0,6 and 18 months,Anxious/depressed,232,13.6,248,14.5,0.337,
1,6 and 12 months,Cough with phlegm,,,,,,
0,6 and 12 months,Cough with phlegm,,,,,,
1,6 and 18 months,Cough with phlegm,,,,,,
0,6 and 18 months,Cough with phlegm,,,,,,
1,6 and 12 months,Altered taste,,,,,,
0,6 and 12 months,Altered taste,,,,,,
1,6 and 18 months,Altered taste,,,,,,
0,6 and 18 months,Altered taste,,,,,,
1,6 and 12 months,Altered smell,,,,,,
0,6 and 12 months,Altered smell,,,,,,
1,6 and 18 months,Altered smell,,,,,,
0,6 and 18 months,Altered smell,,,,,,
1,6 and 12 months,Problems with eyesight,,,,,,
0,6 and 12 months,Problems with eyesight,,,,,,
1,6 and 18 months,Problems with eyesight,,,,,,
0,6 and 18 months,Problems with eyesight,,,,,,
1,6 and 12 months,Pins and needles,,,,,,
0,6 and 12 months,Pins and needles,,,,,,
1,6 and 18 months,Pins and needles,,,,,,
0,6 and 18 months,Pins and needles,,,,,,
1,6 and 12 months,Chest pain,,,,,,
0,6 and 12 months,Chest pain,,,,,,
1,6 and 18 months,Chest pain,,,,,,
0,6 and 18 months,Chest pain,,,,,,
1,6 and 12 months,Palpitations,,,,,,
0,6 and 12 months,Palpitations,,,,,,
1,6 and 18 months,Palpitations,,,,,,
0,6 and 18 months,Palpitations,,,,,,
1,6 and 12 months,Poor appetite,,,,,,
0,6 and 12 months,Poor appetite,,,,,,
1,6 and 18 months,Poor appetite,,,,,,
0,6 and 18 months,Poor appetite,,,,,,
1,6 and 12 months,Abdominal pain,,,,,,
0,6 and 12 months,Abdominal pain,,,,,,
1,6 and 18 months,Abdominal pain,,,,,,
0,6 and 18 months,Abdominal pain,,,,,,
1,6 and 12 months,Sickness/vomiting,,,,,,
0,6 and 12 months,Sickness/vomiting,,,,,,
1,6 and 18 months,Sickness/vomiting,,,,,,
0,6 and 18 months,Sickness/vomiting,,,,,,
1,6 and 12 months,Constipation,,,,,,
0,6 and 12 months,Constipation,,,,,,
1,6 and 18 months,Constipation,,,,,,
0,6 and 18 months,Constipation,,,,,,
1,6 and 12 months,Joint pain,,,,,,
0,6 and 12 months,Joint pain,,,,,,
1,6 and 18 months,Joint pain,,,,,,
0,6 and 18 months,Joint pain,,,,,,
1,6 and 12 months,Confusion,,,,,,
0,6 and 12 months,Confusion,,,,,,
1,6 and 18 months,Confusion,,,,,,
0,6 and 18 months,Confusion,,,,,,
